split	gene_id	rvalue	method
4	ENSG00000229450.2	0.16442198704322725	LinRegr
3	ENSG00000229450.2	0.20802468848522426	LinRegr
2	ENSG00000229450.2	0.007841746972888135	LinRegr
1	ENSG00000229450.2	0.07334434012761687	LinRegr
5	ENSG00000229450.2	0.17437778101077456	LinRegr
2	ENSG00000214425.1	-0.012694491150648829	LinRegr
5	ENSG00000214425.1	-0.029925207867363184	LinRegr
4	ENSG00000214425.1	0.21838603639567472	LinRegr
1	ENSG00000214425.1	0.07427392207971828	LinRegr
3	ENSG00000214425.1	0.01487753136417459	LinRegr
1	ENSG00000176681.9	-0.05210414377460923	LinRegr
2	ENSG00000176681.9	0.13403792030697007	LinRegr
3	ENSG00000176681.9	0.001449228426513384	LinRegr
5	ENSG00000176681.9	0.1315978947951852	LinRegr
4	ENSG00000176681.9	0.10241630066633159	LinRegr
4	ENSG00000238083.3	0.05500609354875376	LinRegr
2	ENSG00000238083.3	0.05901325890835674	LinRegr
1	ENSG00000238083.3	0.11173176356315807	LinRegr
3	ENSG00000238083.3	0.030894336581369596	LinRegr
5	ENSG00000238083.3	-0.07362332701596758	LinRegr
5	ENSG00000232629.4	0.25386144801406213	LinRegr
2	ENSG00000232629.4	0.08466286008265045	LinRegr
4	ENSG00000232629.4	0.15391428798304949	LinRegr
3	ENSG00000232629.4	0.10591674407288582	LinRegr
1	ENSG00000232629.4	0.33158976291026193	LinRegr
3	ENSG00000237541.3	0.07929983565595966	LinRegr
1	ENSG00000237541.3	0.36042772865040457	LinRegr
5	ENSG00000237541.3	0.258389114091063	LinRegr
4	ENSG00000237541.3	0.0669123779872409	LinRegr
2	ENSG00000237541.3	0.10770690415653798	LinRegr
5	ENSG00000198502.5	0.07527042551275154	LinRegr
1	ENSG00000198502.5	0.09069044788291139	LinRegr
3	ENSG00000198502.5	0.0719184193709167	LinRegr
2	ENSG00000198502.5	0.15126376507986744	LinRegr
4	ENSG00000198502.5	-0.09122353041607535	LinRegr
2	ENSG00000179344.11	0.17472084579073036	LinRegr
1	ENSG00000179344.11	0.07205693527619554	LinRegr
5	ENSG00000179344.11	0.2473402191988134	LinRegr
3	ENSG00000179344.11	0.21545469416158497	LinRegr
4	ENSG00000179344.11	0.009923272970236312	LinRegr
4	ENSG00000196735.6	0.039601801349688485	LinRegr
1	ENSG00000196735.6	0.23122187433245306	LinRegr
5	ENSG00000196735.6	-0.018153551255061372	LinRegr
2	ENSG00000196735.6	0.3367392494476019	LinRegr
3	ENSG00000196735.6	0.08087376440731486	LinRegr
2	ENSG00000196126.6	0.12551769404265067	LinRegr
4	ENSG00000196126.6	0.06752841901537808	LinRegr
1	ENSG00000196126.6	-0.11741397701850687	LinRegr
3	ENSG00000196126.6	-0.02210315771652352	LinRegr
5	ENSG00000196126.6	0.011479043584442161	LinRegr
4	ENSG00000229450.2	0.5694119240109423	Ridge
3	ENSG00000229450.2	0.4317379953527423	Ridge
2	ENSG00000229450.2	0.48111548053013875	Ridge
1	ENSG00000229450.2	0.6036498288820962	Ridge
5	ENSG00000229450.2	0.5000824784885554	Ridge
2	ENSG00000214425.1	0.3703447959139878	Ridge
5	ENSG00000214425.1	0.2647014729130044	Ridge
4	ENSG00000214425.1	0.3769136705504661	Ridge
1	ENSG00000214425.1	0.26888826594147436	Ridge
3	ENSG00000214425.1	0.4543452919231033	Ridge
1	ENSG00000176681.9	0.5069784502536439	Ridge
2	ENSG00000176681.9	0.4555403655319086	Ridge
3	ENSG00000176681.9	0.333264501665787	Ridge
5	ENSG00000176681.9	0.4223231720066919	Ridge
4	ENSG00000176681.9	0.5770944781964349	Ridge
4	ENSG00000238083.3	0.4973011617211919	Ridge
2	ENSG00000238083.3	0.345903658944638	Ridge
1	ENSG00000238083.3	0.4498093843747071	Ridge
3	ENSG00000238083.3	0.26908738149616834	Ridge
5	ENSG00000238083.3	0.41145301805862283	Ridge
5	ENSG00000232629.4	0.4430800025429511	Ridge
2	ENSG00000232629.4	0.5600242513921629	Ridge
4	ENSG00000232629.4	0.6217895615801462	Ridge
3	ENSG00000232629.4	0.2953272813380479	Ridge
1	ENSG00000232629.4	0.5345887557188329	Ridge
3	ENSG00000237541.3	0.3233540967815466	Ridge
1	ENSG00000237541.3	0.6756135521236675	Ridge
5	ENSG00000237541.3	0.5963050969666411	Ridge
4	ENSG00000237541.3	0.44999603868711646	Ridge
2	ENSG00000237541.3	0.4368875588261026	Ridge
5	ENSG00000198502.5	0.4045728296592723	Ridge
1	ENSG00000198502.5	0.46258589221075386	Ridge
3	ENSG00000198502.5	0.2828247319932449	Ridge
2	ENSG00000198502.5	0.26461738207917423	Ridge
4	ENSG00000198502.5	0.3070067330437595	Ridge
